#Orbital-7	#Orbital-8
-10.509136120898	-10.509136120808
-10.509182319751	-10.509182319484
-10.509182131230	-10.509182130746
-10.501317018104	-10.501194144059
-10.501317355303	-10.501194482823
-10.498513779430	-10.497985889827
-10.498513685829	-10.497985796856
-10.510094365923	-10.508908852667
-10.510094389441	-10.508908878769
-10.508022276177	-10.507268484282
-10.508021558974	-10.507267763318
-10.501391720266	-10.494668036040
-10.501391575875	-10.494667892401
-10.501391574934	-10.494667891409
-10.501391589185	-10.494667905889
-10.495537912275	-10.495537911992
-10.522408878497	-10.522408878494
-10.494621364128	-10.494621364091
-10.494629033591	-10.494629033587
