# Mode  Freq(cm-1)       Var(Anh)        Var(Tot)     Anh_Measure 
#--------------------------------------------------------------
    1     -0.0000    5.97692e-06     6.12601e-06       0.987757 
    2     -0.0000    6.31072e-06     1.97373e-06        1.78812 
    3     -0.0000    0.000206224     8.77498e-06        4.84782 
    4      0.0000    6.15809e-06     6.91862e-06       0.943438 
    5      0.0000    6.09401e-06     5.90723e-05       0.321188 
    6    681.8844    0.000174674     0.000346854       0.709644 
    7    681.8851    6.19722e-06     0.000368153       0.129743 
    8   1345.3420    5.64072e-06      0.00337331      0.0408921 
    9   2367.9766    0.000259688       0.0141033       0.135695 
#--------------------------------------------------------------
# SUM                7.52182e-05      0.0020305       0.192469
