#Orbital-9   #Orbital-10   #Orbital-11   
     -10.3114      -10.2959       -0.2479 
     -10.3007      -10.2863       -0.4105 
     -10.2286      -10.2229       -0.0773 
     -10.2383      -10.2321        0.0778 
     -10.3217      -10.3141        0.1289 
      -10.298      -10.2915       -0.2145 
     -10.2833      -10.2782        -0.113 
      -10.303      -10.2971        0.1724 
     -10.2986      -10.2953        0.0518 
     -10.3115      -10.3079        0.2277 
     -10.3208       -10.311        0.1855 
       -10.28      -10.2727       -0.4217 
     -10.1008      -10.0977        -0.365 
     -10.1448        -10.14         0.449 
     -10.2642      -10.2577        0.1447 
     -10.2451      -10.2395       -0.1509 
     -10.3101      -10.3098        0.3288 
     -10.3208      -10.3204        0.4354 
     -10.2719      -10.2606        -0.714 
     -10.3232      -10.3067        0.0827 
       -10.29      -10.2833        0.0136 
     -10.2859      -10.2794        -0.047 
     -10.2815      -10.2699       -0.5122 
     -10.3118      -10.2973       -0.0418 
     -10.1838      -10.1822        0.1085 
     -10.2014      -10.1996        0.3675 
     -10.2122      -10.2101        0.0074 
     -10.2367       -10.234        0.3648 
      -10.241      -10.2315       -0.4946 
     -10.2758      -10.2634        0.0702 
     -10.2651      -10.2563        0.1568 
     -10.2339      -10.2271       -0.3399 
     -10.2943       -10.284       -0.4646 
      -10.326      -10.3131        0.0136 
     -10.2258      -10.2251        0.2438 
      -10.241      -10.2403        0.4284 
     -10.3037      -10.2952         0.181 
     -10.2694      -10.2628       -0.3348 
     -10.2945      -10.2882        0.1357 
      -10.277      -10.2714       -0.1224 
     -10.3198      -10.3057         0.086 
     -10.2759      -10.2657       -0.5876 
     -10.2802      -10.2756       -0.1611 
     -10.3085      -10.3029        0.2442 
     -10.2906       -10.281       -0.0556 
     -10.2804      -10.2714       -0.2136 
     -10.2973      -10.2867       -0.1782 
     -10.2972      -10.2867       -0.1792 
     -10.2806       -10.261       -0.5675 
     -10.2897      -10.2687       -0.4184 
     -10.2694       -10.198       -1.1052 
     -10.2386      -10.1849       -1.6986 
     -10.2979      -10.2968        -0.027 
     -10.3433      -10.3418        0.5204 
      -10.311      -10.3085        0.1545 
     -10.3174      -10.3147        0.2376 
     -10.3036      -10.2846       -0.4357 
     -10.3018       -10.283       -0.4639 
     -10.2763      -10.2721       -0.0485 
     -10.2941      -10.2893        0.2068 
     -10.3183      -10.3176        0.4172 
     -10.3059      -10.3052        0.2823 
     -10.3084      -10.3083        0.3328 
     -10.3335      -10.3335        0.5297 
      -10.283      -10.2758       -0.4135 
     -10.3239      -10.3143          0.19 
     -10.3247      -10.3176        0.3826 
     -10.2671      -10.2625       -0.4476 
     -10.3096      -10.3046        0.2527 
     -10.2836      -10.2794       -0.1165 
     -10.2442      -10.2357        0.2933 
      -10.198      -10.1921         -0.47 
     -10.3109      -10.3109        0.3715 
     -10.3285      -10.3285        0.5045 
     -10.3013      -10.2912        -0.132 
     -10.2978      -10.2879       -0.1853 
     -10.2724       -10.272        0.3869 
     -10.2709      -10.2704        0.3702 
     -10.3108      -10.3061        0.2046 
     -10.2936      -10.2894       -0.0373 
     -10.3123      -10.3085         0.072 
     -10.3193      -10.3153        0.1673 
     -10.2795      -10.2746        0.0184 
     -10.2852      -10.2802        0.1018 
     -10.2719      -10.2695       -0.0544 
     -10.3049       -10.302        0.3925 
     -10.3215      -10.3202        0.4177 
     -10.2996      -10.2984        0.1558 
     -10.3082      -10.3035       -0.0104 
     -10.3188      -10.3137        0.1379 
     -10.1536      -10.1403       -0.1069 
     -10.1373       -10.126       -0.4352 
     -10.2942       -10.282       -0.2284 
     -10.2931       -10.281       -0.2455 
     -10.2824      -10.2803        0.0131 
     -10.3107      -10.3082        0.3857 
     -10.2682      -10.2595       -0.4035 
     -10.2993      -10.2884        0.0767 
     -10.2207       -10.211        0.0752 
     -10.1968       -10.189       -0.3357 
     -10.3002      -10.2963         0.187 
     -10.2914      -10.2878        0.0654 
     -10.2768      -10.2646        0.0345 
     -10.2467       -10.237       -0.4518 
     -10.2857      -10.2543       -0.4731 
     -10.2583       -10.233       -0.9443 
     -10.3035      -10.3004        0.1437 
      -10.306      -10.3028        0.1774 
     -10.3146      -10.3087        0.1637 
     -10.2953      -10.2901       -0.1121 
     -10.1481      -10.1246       -0.7733 
     -10.1594       -10.133       -0.5316 
     -10.3191      -10.3174        0.2725 
      -10.318      -10.3163        0.2596 
     -10.3015         -10.3         0.251 
     -10.3046       -10.303        0.2887 
     -10.2997      -10.2836       -0.4056 
     -10.3037      -10.2871       -0.3428 
     -10.3269       -10.324        0.2782 
     -10.3128      -10.3102        0.0948 
     -10.3097      -10.2984       -0.2244 
     -10.3121      -10.3006       -0.1883 
     -10.2578      -10.2212       -1.0244 
     -10.2676      -10.2279       -0.8478 
     -10.3112      -10.2984       -0.1094 
     -10.2947      -10.2833       -0.3643 
     -10.2791      -10.2676        0.0092 
     -10.2544      -10.2449       -0.3845 
     -10.2457      -10.2454        0.6297 
      -10.192      -10.1918        -0.034 
     -10.3141      -10.3067        0.0057 
     -10.3072      -10.3002       -0.0944 
     -10.2134       -10.212        0.6677 
     -10.1444      -10.1436       -0.3685 
     -10.2939      -10.2921        0.2132 
     -10.2998      -10.2979        0.2883 
     -10.3046      -10.2995        -0.046 
     -10.3171      -10.3115        0.1321 
     -10.2762      -10.2716        0.1427 
     -10.2679      -10.2636        0.0221 
     -10.2466      -10.2432         0.056 
     -10.2572      -10.2536        0.2114 
     -10.1952      -10.1825       -0.5036 
     -10.2157      -10.2005       -0.1322 
      -10.117      -10.1161        0.4157 
     -10.1025      -10.1017        0.1937 
     -10.3294      -10.3279        0.3839 
     -10.3127      -10.3114        0.1843 
     -10.2987      -10.2985        0.2814 
     -10.3233      -10.3231        0.5122 
     -10.2872      -10.2744       -0.1085 
     -10.2707      -10.2594         -0.37 
     -10.2385      -10.2351       -0.4159 
     -10.2986      -10.2932        0.4617 
      -10.251      -10.2477       -0.2967 
     -10.3009      -10.2961        0.4192 
     -10.3036      -10.3019        0.1911 
      -10.314      -10.3122        0.3214 
     -10.2669      -10.2606       -0.2892 
     -10.2977      -10.2897        0.1747 
     -10.3082      -10.3067        0.2334 
     -10.3153      -10.3138        0.3209 
     -10.3049      -10.2992        0.2085 
     -10.2812      -10.2765       -0.1329 
     -10.3271      -10.3135         0.026 
     -10.2917      -10.2812       -0.5101 
     -10.0917      -10.0651       -1.0588 
     -10.1123      -10.0783       -0.5514 
     -10.2638      -10.2606        -0.166 
      -10.302      -10.2979        0.3726 
     -10.2921      -10.2819       -0.4263 
     -10.3202      -10.3077       -0.0021 
      -10.277      -10.2565       -0.3061 
     -10.2579      -10.2402       -0.6261 
     -10.3381      -10.3377        0.5374 
     -10.3036      -10.3033         0.185 
     -10.2795      -10.2775       -0.0816 
     -10.3191      -10.3164        0.4397 
     -10.2399      -10.2278       -0.0193 
     -10.2169      -10.2069       -0.4111 
     -10.3183       -10.318        0.4181 
     -10.3137      -10.3134        0.3744 
     -10.1906      -10.1793        0.0781 
     -10.1618      -10.1531        -0.455 
     -10.1766      -10.1557       -0.3819 
     -10.1643      -10.1457       -0.6283 
     -10.2965       -10.275       -0.5295 
     -10.2969      -10.2753       -0.5235 
     -10.2591      -10.2489       -0.4924 
     -10.2917      -10.2786        0.0256 
     -10.2914      -10.2855        0.0046 
     -10.2925      -10.2865        0.0204 
     -10.3019      -10.2909       -0.3496 
     -10.3188      -10.3063       -0.0944 
     -10.2749      -10.2643        0.1419 
      -10.238        -10.23       -0.4494 
     -10.3327      -10.3274        0.2659 
     -10.3025      -10.2982       -0.1522 
     -10.2623      -10.2589        0.2081 
      -10.254      -10.2508        0.0891 
     -10.3085      -10.3042       -0.0178 
     -10.3227      -10.3179        0.1786 
     -10.2239      -10.2213       -0.3583 
     -10.2836      -10.2796        0.5093 
     -10.2933      -10.2846       -0.3631 
     -10.3218      -10.3111        0.0607 
     -10.2892      -10.2875       -0.2286 
     -10.3501      -10.3476        0.5472 
     -10.2965      -10.2948        0.3356 
     -10.2843      -10.2826        0.1796 
     -10.3335      -10.3192        0.1564 
     -10.2788      -10.2691        -0.671 
     -10.3181      -10.3161        0.3818 
     -10.2959      -10.2943        0.1032 
     -10.2065      -10.2041        0.0387 
     -10.2252      -10.2224         0.319 
     -10.2888      -10.2702       -0.6773 
     -10.3118      -10.2898       -0.3108 
     -10.2632      -10.2614        0.1958 
     -10.2708      -10.2689         0.296 
     -10.2672      -10.2522        -0.617 
     -10.2946      -10.2762       -0.1713 
     -10.3212      -10.3188         0.222 
     -10.3199      -10.3175        0.2047 
     -10.2724      -10.2613       -0.4157 
     -10.2947      -10.2816       -0.0658 
     -10.2663      -10.2495       -0.3625 
     -10.2632      -10.2468       -0.4144 
     -10.2192      -10.2034       -0.4397 
     -10.2253      -10.2087       -0.3302 
     -10.3476      -10.3338        0.3275 
     -10.2704      -10.2625        -0.813 
     -10.3073      -10.3051        0.2129 
     -10.3084      -10.3061         0.227 
     -10.2982      -10.2981        0.1963 
     -10.3372       -10.337        0.5679 
     -10.2801      -10.2733          0.28 
     -10.2417      -10.2367       -0.3052 
     -10.2478      -10.2078        -1.331 
      -10.275      -10.2245       -0.8341 
     -10.2233      -10.1979       -0.6463 
     -10.2233      -10.1979        -0.647 
      -10.297      -10.2937       -0.0894 
     -10.3268      -10.3227         0.316 
     -10.2929      -10.2907        0.4025 
     -10.2645      -10.2626        0.0244 
     -10.2461      -10.2276       -0.5385 
     -10.2544      -10.2346       -0.3964 
     -10.2932      -10.2858        0.1249 
     -10.2717      -10.2654       -0.1979 
     -10.3141      -10.3112        0.1441 
     -10.3191      -10.3161        0.2095 
     -10.3309      -10.3217        0.5198 
     -10.2408       -10.236       -0.7996 
     -10.2422      -10.1917       -1.3903 
     -10.2561      -10.1988       -1.1235 
     -10.3038      -10.2997        0.2019 
     -10.2909      -10.2871        0.0214 
     -10.2962      -10.2954        0.4353 
     -10.2782      -10.2775        0.2298 
     -10.1894      -10.1567       -0.6336 
     -10.1745      -10.1462       -0.9402 
     -10.3178      -10.3153        0.5309 
     -10.2625      -10.2609       -0.1984 
     -10.3128      -10.3036        -0.118 
      -10.312      -10.3029       -0.1288 
     -10.2893      -10.2773       -0.3727 
