# Mode  Freq(cm-1)       Var(Anh)        Var(Tot)     Anh_Measure 
#--------------------------------------------------------------
    1     -0.0120    0.000307268     5.89657e-05        2.28275 
    2      0.0001    0.000142152     2.67528e-06        7.28941 
    3      0.0006      0.0168978     3.86368e-07        209.129 
    4      0.0070    0.000306387     1.16596e-06        16.2104 
    5      0.0070    0.000141753      1.8682e-05        2.75457 
    6    676.4269      0.0176427     0.000183404        9.80794 
    7    676.4269     0.00120172     0.000475885         1.5891 
    8   1371.0021    0.000555802      0.00415696       0.365655 
    9   2408.0634      0.0373526       0.0142452         1.6193 
#--------------------------------------------------------------
# SUM                 0.00828314     0.00212703        1.97338
