#Orbital-430  #Orbital-431  #Orbital-432  
    13.25855121     14.36966986     14.49676322  
    13.23186241     14.44880321     14.55506014  
    13.39142652     14.33276704     14.46798350  
    13.41372030     14.29533759     14.70180016  
    13.32512575     14.28971873     14.41910814  
    13.38637122     14.24825322     14.47878783  
    13.43827011     14.33585399     14.58418207  
    13.33799617     14.22218409     14.52373868  
    13.38736084     14.31245655     14.35497381  
    13.39458894     14.37254518     14.50424595  
    13.30324496     14.46606053     14.68531682  
    13.45670939     14.38757485     14.58898006  
    13.28954630     14.41499858     14.56205503  
    13.43526270     14.41751290     14.64529809  
    13.46007157     14.26861414     14.50275120  
    13.42966802     14.41323249     14.58268823  
    13.23771181     14.27990030     14.57863433  
    13.39952192     14.36045688     14.43787663  
    13.51756770     14.13760952     14.46949582  
    13.34177728     14.10604137     14.48913358  
    13.30174627     14.36726034     14.66866032  
    13.36318348     14.29965750     14.65292114  
    13.38744602     14.38653101     14.54193023  
    13.26937494     14.14387018     14.51966817  
    13.42274791     14.37970166     14.53461580  
    13.46147296     14.11288974     14.41326444  
    13.23179845     14.45938715     14.55223123  
    13.14855107     14.30436536     14.59910604  
    13.34274004     14.21681966     14.65696932  
    13.34999954     14.27097333     14.43838370  
    13.29168713     14.41595418     14.67482822  
    13.41578664     14.48338096     14.63134347  
    13.22905552     14.20285323     14.55771517  
    13.49296041     14.30084417     14.40021920  
    13.38748866     14.22684614     14.47827758  
    13.31552638     14.13314793     14.57328789  
    13.47853727     14.39745688     14.59513469  
    13.40540874     14.32855198     14.37176404  
    13.34176642     14.45188997     14.52150262  
    13.29329007     14.41735005     14.56457123  
    13.46789703     14.30958619     14.52810466  
    13.27679358     14.31833186     14.49884043  
    13.42340738     14.31527751     14.45597596  
    13.41937773     14.36233022     14.42294890  
    13.35337983     14.33156838     14.47710245  
    13.39098443     14.23349954     14.46925190  
    13.36216669     14.35578962     14.57737632  
    13.27271805     14.18961697     14.56681548  
    13.47425115     14.13253071     14.59862206  
    13.38869794     14.31983826     14.48514046  
    13.22378589     14.25351459     14.36720158  
    13.35334382     14.07947215     14.45964491  
    13.13275578     14.30361036     14.46960427  
    13.45259061     14.28966902     14.48932570  
    13.33800360     14.38233977     14.70726174  
    13.55289163     14.26998414     14.52211283  
    13.40964425     14.16302067     14.39902617  
    13.26069514     14.32728973     14.55302259  
    13.39211747     14.31405669     14.45216953  
    13.60563297     14.34566696     14.50463041  
    13.31559321     14.35429491     14.73458384  
    13.36758868     14.31776017     14.84842408  
    13.41129589     14.37500479     14.42976256  
    13.37840111     14.34319049     14.43466819  
    13.31930679     14.23628528     14.81654036  
    13.52028904     14.30827182     14.47456932  
    13.35219709     14.41547918     14.50562785  
    13.25865700     14.31434046     14.46169804  
    13.23485837     14.32528352     14.61269200  
    13.39207748     14.34178306     14.63331818  
    13.34782453     14.34467543     14.51058848  
    13.34361202     14.25287601     14.51023533  
    13.41533379     14.40162808     14.46472853  
    13.38587515     14.12605897     14.31136441  
    13.44410100     14.45364743     14.48741608  
    13.24176046     14.28848189     14.52322130  
    13.39429596     14.23298500     14.36095352  
    13.43994261     14.35645322     14.55042462  
    13.31925249     14.30114997     14.35624469  
    13.31219730     14.30874545     14.58624214  
    13.16476798     14.15774681     14.78836252  
    13.31516180     14.22672284     14.66387299  
    13.25843085     14.16786541     14.65676871  
    13.45474455     14.22161197     14.44929242  
    13.48961157     14.19918504     14.54700375  
    13.37959054     14.49194182     14.62716731  
    13.36904493     14.41480541     14.61424823  
    13.33800563     14.38986495     14.48301404  
    13.23114378     14.57295714     14.60584186  
    13.42384855     14.26139853     14.43788264  
    13.30288530     14.14023184     14.38824618  
    13.10093156     14.29061347     14.52513271  
    13.34885015     14.24001053     14.63188877  
    13.28983946     14.23522112     14.74575100  
    13.41620072     14.44289524     14.64519486  
    13.37292200     14.40253026     14.50771292  
    13.29131610     14.28691877     14.58861815  
    13.26217052     14.27733467     14.60102370  
    13.35014462     14.30439018     14.54547417  
    13.24307440     14.24674989     14.51494691  
    13.21648527     14.42039079     14.56318987  
    13.26944080     14.30298366     14.43129030  
    13.23540651     14.29153738     14.66065819  
    13.49136388     14.18135541     14.53188926  
    13.34980598     14.44167765     14.63197468  
    13.44986808     14.28243462     14.63923716  
    13.39984824     14.30913291     14.56274427  
    13.30893101     14.33492133     14.45038721  
    13.39105439     14.46228908     14.54600855  
    13.50165348     14.43415932     14.53873676  
    13.34005629     14.49280470     14.70782171  
    13.37826194     14.19416067     14.62455205  
    13.46771299     14.28793697     14.47848593  
    13.31828332     14.22332222     14.51764839  
    13.38775086     14.20834662     14.62996047  
    13.38921989     14.45749585     14.63827154  
    13.28126813     14.35053890     14.54760340  
    13.30178875     14.34119030     14.41252086  
    13.29940571     14.44141941     14.61393964  
    13.35555707     14.37438292     14.52437296  
    13.37449814     14.28655427     14.57804687  
    13.45408376     14.49993338     14.62599526  
    13.35423756     14.30733412     14.53895045  
    13.30226953     14.29163586     14.46250094  
    13.35312450     14.15760009     14.48469094  
    13.44106758     14.30445248     14.53820967  
